StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q1,Q2,Q3,Q4,Q7,Q8,Q19,Q19_6_TEXT,Q19_7_TEXT,Q19_4_TEXT,Q19_5_TEXT,Q17_iphone,Q17_ipad,Q17_android_phone,Q17_android_tablet,Q17_win_phone,Q17_ms_surface,Q17_other_touchscreen,Q17_palm_pda_phone,Q17_other,Q17_other_TEXT,Q9,Q10,Q11,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_7_TEXT,Q21_1,Q21_2,Q21_5,Q21_3,Q21_4,Q21_6,Q21_6_TEXT,Q14,Q15,Q23,Q24,Q16,Q_TotalDuration,Q19_7_TEXT - Topics
2017-10-19 10:40:32,2017-10-19 10:42:38,IP Address,129.63.17.4,100,126,True,2017-10-19 10:42:38,R_3pgPshMp4m6Rjjr,,,,,42.652297973633,-71.350601196289,anonymous,9,male,some_college,18,"c++
SolidWorks
Autodesk fusion 360
Bloomberg",moderate,"fic_media,non_fic_media",,,,,frequent,frequent,frequent,frequent,rarely,complete_unfamiliar,frequent,rarely,complete_unfamiliar,,No,,,,,,,,,,,,,,,,,,No,,,,neutral,126,
2017-10-19 12:13:52,2017-10-19 12:21:07,IP Address,129.63.17.4,100,435,True,2017-10-19 12:21:08,R_2QKuL3FwFT7GRwy,,,,,42.652297973633,-71.350601196289,anonymous,10,male,batchelor,23,"All social media apps and news apps. ",casual,"non_fic_media,commercial_bots,real_bots",,Used HTC Vive set to interact with Real World object (Drone). Commands were set in augmented reality and were controlled using hand gestures in real world.,Used HTC Vive set to interact with Real World object (Drone). Commands were set in augmented reality and were controlled using hand gestures in real world.,,rarely,familiar,familiar,complete_unfamiliar,rarely,complete_unfamiliar,familiar,rarely,complete_unfamiliar,,Yes,2,Counter strike Go and Clash royale,Used Daily,Moderately Used,Never Used,Used Daily,Rarely Used,Never Used,Never Used,,Used Daily,Used Daily,Moderately Used,Never Used,Rarely Used,Never Used,,Yes,Should be controlled with hand gestures and voice commands and all operations should be controlled using multiple gestures for different users.,No,,somewhat,435,
2017-10-19 13:34:41,2017-10-19 13:38:07,IP Address,129.63.17.4,100,205,True,2017-10-19 13:38:07,R_2zkBKNCcUtWNOLW,,,,,42.652297973633,-71.350601196289,anonymous,11,male,master,25,"Office, Empowers, MassLynx, SedFit",moderate,"fic_media,non_fic_media",,,,,familiar,moderate,moderate,rarely,complete_unfamiliar,rarely,rarely,rarely,familiar,Apple Watch,No,,,,,,,,,,,,,,,,,,Yes,"The gaming robot developed at northeastern by my friend ",No,,somewhat,205,
2017-10-20 07:04:06,2017-10-20 07:08:15,IP Address,129.63.17.4,100,248,True,2017-10-20 07:08:15,R_1Kf0Oc2Y4qmXcvQ,,,,,42.652297973633,-71.350601196289,anonymous,12,male,some_college,18,"word, safari, the game slither.io",expert,"fic_media,non_fic_media",,,,,familiar,frequent,rarely,rarely,complete_unfamiliar,moderate,rarely,complete_unfamiliar,complete_unfamiliar,,Yes,less than 1,"forza horizon 2, a racing game on the xbox one",Frequently Used,Rarely Used,Moderately Used,Rarely Used,Moderately Used,Moderately Used,Never Used,,Used Daily,Frequently Used,Moderately Used,Moderately Used,Rarely Used,Never Used,,No,,,,somewhat,248,
2017-10-20 08:49:27,2017-10-20 08:58:35,IP Address,129.63.17.4,100,547,True,2017-10-20 08:58:35,R_pi0eUIVcbaknxnP,,,,,42.652297973633,-71.350601196289,anonymous,13,male,some_college,19,"For my phone, I use Flipboard and Facebook on a regular basis.  On my computer I often times use Google Chrome, Excel, and World of Tanks.",moderate,"fic_media,non_fic_media,video_game_gots,real_bots",Halo,,I've tried using a vacuum cleaning robot a few time.,,familiar,rarely,rarely,complete_unfamiliar,complete_unfamiliar,rarely,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,,Yes,1-5,"Overwatch, Wold of Tanks, Battlefield 1, and Hitman",Rarely Used,Never Used,Frequently Used,Moderately Used,Never Used,Rarely Used,Never Used,,Rarely Used,Moderately Used,Frequently Used,Rarely Used,Rarely Used,Never Used,,Yes,"I tried to use a Roomba once and failed. ",No,,somewhat,547,
2017-10-20 10:37:04,2017-10-20 10:40:50,IP Address,129.63.17.4,100,225,True,2017-10-20 10:40:50,R_3EW3mqYW0DrNFFq,,,,,42.652297973633,-71.350601196289,anonymous,14,female,batchelor,22,"internet, microsoft words, powerpoint, excel, and window's games",expert,"fic_media,non_fic_media,chatbots",,,,,complete_unfamiliar,frequent,familiar,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,,No,,,,,,,,,,,,,,,,,,No,,,,somewhat_not,225,
2017-10-20 10:55:32,2017-10-20 10:58:56,IP Address,129.63.17.4,100,204,True,2017-10-20 10:58:57,R_2tyDTHhjm0PysVa,,,,,42.652297973633,-71.350601196289,anonymous,15,female,hs_diploma,22,Youtube,moderate,fic_media,,,,,familiar,frequent,familiar,rarely,rarely,moderate,rarely,complete_unfamiliar,rarely,,No,,,,,,,,,,,,,,,,,,No,,,,very_not,204,
2017-10-20 13:36:54,2017-10-20 13:41:49,IP Address,129.63.17.4,100,295,True,2017-10-20 13:41:50,R_9FgeipoEDVJYCtz,,,,,42.652297973633,-71.350601196289,anonymous,16,female,some_college,19,"I use social media such as Facebook, Instagram, Snapchat as well as photo editing and news media apps.  ",expert,"fic_media,chatbots",,,,,familiar,rarely,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,,Yes,15,Overwatch....just Overwatch.,Rarely Used,Never Used,Frequently Used,Rarely Used,Never Used,Never Used,Never Used,,Used Daily,Moderately Used,Frequently Used,Never Used,Never Used,Never Used,,Yes,"I have used self-cleaning vaccum machines before, but that's it.",No,,neutral,295,
2017-10-23 10:35:36,2017-10-23 10:40:09,IP Address,129.63.17.4,100,273,True,2017-10-23 10:40:10,R_2aCV4bp9AsFpNDf,,,,,42.652297973633,-71.350601196289,anonymous,17,female,some_college,19,"Microsoft word,power point, excel
social media apps
calculator app
online banking app",moderate,"fic_media,commercial_bots",,Drones,,,familiar,moderate,rarely,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,familiar,complete_unfamiliar,complete_unfamiliar,,No,,,,,,,,,,,,,,,,,,Yes,Playing with a drone,No,,neutral,273,
2017-10-24 09:13:12,2017-10-24 09:18:11,IP Address,129.63.17.4,100,298,True,2017-10-24 09:18:21,R_237aGTytiafxoPv,,,,,42.652297973633,-71.350601196289,anonymous,18,male,some_college,21,"macOS, Windows, Ubuntu Linux from GUI (x-windows), Red Hat Linux from command line

Microsoft Office (Word, Outlook, Excel); Vim, Chrome, Adobe PDF viewer, very basic image editing using paint or whatever macOS gives you (I forget)

I do not own a smartphone or any other touch-screen device",expert,chatbots,,,,,rarely,complete_unfamiliar,rarely,complete_unfamiliar,complete_unfamiliar,rarely,frequent,complete_unfamiliar,complete_unfamiliar,,No,,,,,,,,,,,,,,,,,,No,,,,neutral,298,
2017-10-24 12:16:29,2017-10-24 12:25:12,IP Address,129.63.17.4,100,523,True,2017-10-24 12:25:13,R_4SN8I8S4vbOv72N,,,,,42.652297973633,-71.350601196289,anonymous,19,male,some_college,23,"Visual Studio
Sublime Text 
Steam
Vim",moderate,"fic_media,video_game_gots,chatbots","Mass Effect Series
Nier: Automata (spelling??)
",,,,familiar,rarely,moderate,rarely,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,,Yes,5-8,"Civilization V
Dark Souls III
Witcher III
Nier: Automata
Couter Strike: GO",Rarely Used,Never Used,Never Used,Frequently Used,Frequently Used,Never Used,Moderately Used,Super Nintendo,Frequently Used,Frequently Used,Frequently Used,Never Used,Never Used,Never Used,,No,,,,somewhat,523,
2017-10-24 13:11:23,2017-10-24 13:14:00,IP Address,129.63.17.4,100,156,True,2017-10-24 13:14:00,R_1E0f0h2Bn2GTuk7,,,,,42.652297973633,-71.350601196289,anonymous,20,female,some_college,19,"I use Facebook, Twitter, Instagram, Vsco, Snapchat, and e-mail",moderate,non_fic_media,,,,,familiar,rarely,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,familiar,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,,No,,,,,,,,,,,,,,,,,,No,,,,somewhat_not,156,
2017-10-25 09:30:40,2017-10-25 09:56:15,IP Address,129.63.17.4,100,1535,True,2017-10-25 09:56:15,R_26nZwKEUVDhpqRU,,,,,42.652297973633,-71.350601196289,anonymous,21,male,master,27,"windows, ",casual,"non_fic_media,chatbots,real_bots",,,"in Plastic industry, Automated robots used for handling of product on the principle of vacuum evacuation.",,familiar,moderate,moderate,moderate,moderate,frequent,familiar,rarely,complete_unfamiliar,,Yes,15,Need for Speed,Rarely Used,Rarely Used,Moderately Used,Used Daily,Moderately Used,Never Used,Never Used,,Frequently Used,Used Daily,Moderately Used,Moderately Used,Rarely Used,Never Used,,Yes,"during my work experience i used robot for the auto packing of samples in pharmaceutical industry.  ",No,,somewhat,1535,
2017-10-25 12:39:32,2017-10-25 12:46:59,IP Address,129.63.17.4,100,446,True,2017-10-25 12:47:00,R_YREKRkbWjYWOdQR,,,,,42.652297973633,-71.350601196289,anonymous,22,female,batchelor,27,"Twitter, Instagram, Google maps, Google, Whatsapp voice and chat. alarms",moderate,fic_media,,,,,rarely,complete_unfamiliar,frequent,frequent,moderate,complete_unfamiliar,rarely,complete_unfamiliar,rarely,smart TV,Yes,rarely,"car races, candy crush, bubble witch saga and mortal combat",Used Daily,Used Daily,Never Used,Rarely Used,Moderately Used,Never Used,Never Used,,Used Daily,Moderately Used,Frequently Used,Never Used,Never Used,Never Used,,No,,,,somewhat,446,
2017-10-25 14:25:02,2017-10-25 14:28:58,IP Address,129.63.17.4,100,236,True,2017-10-25 14:28:59,R_3qdql6uDTSdiL4t,,,,,42.652297973633,-71.350601196289,anonymous,23,male,master,28,"Microsoft Office apps
Steam & Origin",moderate,"fic_media,non_fic_media,video_game_gots,chatbots,commercial_bots",,,,,familiar,moderate,rarely,rarely,rarely,moderate,rarely,rarely,complete_unfamiliar,,Yes,20,"Battlefield   
Total War
Witcher 3",Rarely Used,Rarely Used,Never Used,Used Daily,Never Used,Never Used,Never Used,,Rarely Used,Used Daily,Rarely Used,Rarely Used,Rarely Used,Rarely Used,,No,,,,neutral,236,
2017-10-26 10:05:05,2017-10-26 10:09:44,IP Address,129.63.17.4,100,279,True,2017-10-26 10:09:45,R_2flYDq3c9SP6WxY,,,,,42.652297973633,-71.350601196289,anonymous,24,female,some_college,20,LiquiFire,moderate,"fic_media,non_fic_media,video_game_gots",Destiny,,,,familiar,familiar,moderate,frequent,moderate,rarely,moderate,complete_unfamiliar,complete_unfamiliar,,Yes,20,"Destiny, Crash Bandicoot (remastered), Rise of the Tomb Raider, Legend of Zelda Breath of the Wild, The Sims 4, Rime, No Mans Sky",Moderately Used,Rarely Used,Rarely Used,Frequently Used,Used Daily,Never Used,Used Daily,Nintendo Switch,Used Daily,Frequently Used,Used Daily,Moderately Used,Rarely Used,Never Used,,No,,,,neutral,279,
2017-10-26 11:39:58,2017-10-26 11:43:08,IP Address,129.63.17.4,100,190,True,2017-10-26 11:43:08,R_1nUWVIUaqLtTccJ,,,,,42.652297973633,-71.350601196289,anonymous,25,female,some_college,19,Microsoft Word,moderate,"fic_media,chatbots",,,,,familiar,rarely,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,familiar,complete_unfamiliar,complete_unfamiliar,,Yes,0-1,"NBA 2K, Mario Party 8",Moderately Used,Never Used,Rarely Used,Never Used,Rarely Used,Moderately Used,Never Used,,Never Used,Rarely Used,Moderately Used,Moderately Used,Rarely Used,Never Used,,No,,,,somewhat_not,190,
2017-10-27 07:56:48,2017-10-27 08:11:42,IP Address,129.63.17.4,100,893,True,2017-10-27 08:11:42,R_3Dhl07Uk0TmmhZi,,,,,42.652297973633,-71.350601196289,anonymous,26,male,batchelor,24,"Games like 2048, EverNote",expert,"fic_media,non_fic_media,chatbots,real_bots,made_bots,academic",,,"I program robots. ",Organized workshops to teach robotics during under graduate studies as well as hosted and participated in robotics competitions.,rarely,frequent,familiar,moderate,rarely,moderate,rarely,rarely,familiar,Smart Watch Android,Yes,2-5,"Age of Empires, FIFA 17",Frequently Used,Moderately Used,Never Used,Frequently Used,Frequently Used,Rarely Used,Never Used,,Used Daily,Used Daily,Frequently Used,Moderately Used,Rarely Used,Never Used,,Yes,Remote Controlled and Autonomous robots operated to complete a maze or to complete a track in fastest time kind of activities.,No,,very,893,
2017-10-27 08:42:16,2017-10-27 08:46:41,IP Address,129.63.17.4,100,264,True,2017-10-27 08:46:41,R_3JlYdYnCczF57YM,,,,,42.652297973633,-71.350601196289,anonymous,27,female,master,24,"A lot of FPS games 
MoldFLow
",moderate,"fic_media,non_fic_media,video_game_gots,chatbots","TitanFall 2
Portal
Borderlands 2
",,,,familiar,familiar,rarely,rarely,moderate,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,,Yes,10,"Overwatch
League of Legends
Diablo 3",Never Used,Never Used,Never Used,Used Daily,Frequently Used,Never Used,Never Used,,Never Used,Used Daily,Frequently Used,Moderately Used,Moderately Used,Never Used,,Yes,"Enter a list of commands and expect perfect, albeit slow execution",No,,somewhat,264,
2017-10-27 10:16:53,2017-10-27 10:22:52,IP Address,129.63.17.4,100,359,True,2017-10-27 10:22:52,R_77COubFDpJuEPQJ,,,,,42.652297973633,-71.350601196289,anonymous,28,male,some_college,18,"Word ",moderate,"fic_media,commercial_bots,made_bots",,Robo-Sapien,,"Had a project involving a chatbot called ""Magpie"" in computer science class in high school",complete_unfamiliar,complete_unfamiliar,familiar,complete_unfamiliar,complete_unfamiliar,frequent,familiar,complete_unfamiliar,complete_unfamiliar,,Yes,4-7,"Super Smash Bros.
Persona 5
The Legend of Zelda: breath of the Wild",Rarely Used,Never Used,Rarely Used,Never Used,Frequently Used,Frequently Used,Moderately Used,Nintendo Wii U,Rarely Used,Never Used,Frequently Used,Rarely Used,Never Used,Never Used,,No,,,,neutral,359,
2017-10-27 11:07:35,2017-10-27 11:15:56,IP Address,129.63.17.4,100,500,True,2017-10-27 11:15:57,R_3OoHEm24Iy3Oa3K,,,,,42.652297973633,-71.350601196289,anonymous,29,male,some_college,26,"Nothing special. Just web browsers, chat programs, and IDE's such as VBS.",guru,"fic_media,non_fic_media,video_game_gots,chatbots",,,,,rarely,complete_unfamiliar,familiar,familiar,complete_unfamiliar,familiar,familiar,rarely,complete_unfamiliar,,Yes,10,"World of Tanks
Fire Emblem",Used Daily,Moderately Used,Never Used,Used Daily,Never Used,Moderately Used,Never Used,,Used Daily,Used Daily,Rarely Used,Rarely Used,Never Used,Never Used,,Yes,Helping a robot with sonar to navigate.,No,,somewhat,500,
